REQUIREMENT_ID	SOURCE	SOURCE_COMMIT	SOURCE_LOCATION	SOURCE_HASH	EXACT_PASSAGE	CLASSIFICATION	INTERPRETATION	COMPONENT	ACCEPTANCE_TEST	EVIDENCE	STATUS	OPEN_QUESTION	DECISION_REFERENCE
M-011	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L40-L41	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	" ii. All user activity, social and financial flows through their NFT username. Whoever owns this NFT has access to that account. 
 This includes, but is not limited to, their CAW balance and access to that user's direct messages (DMs). "	mandatory behavior	Social identity and financial account authority follow current NFT ownership; balance and DM access are expressly included.	Identity and custody	Transfer a funded NFT; verify new owner gains authorized account control and old owner loses future spending/session authority.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED SYNTHETIC SUBSET: controller transfer preserves balance/stake, increments epoch/nonce and rejects stale intents. No NFT sale/transfer, cryptographic authentication, marketplace or DM-history movement. See DECISION_LOG.md#d-010 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Which DM history and keys follow transfer, and with what counterparty consent?	SPEC_CONFLICTS.md#c-005
M-012	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L43-L44	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	" iii. Ownership and management of the NFTs will be completely on-chain. For instance, the registration of the username 'cawdev'
  will be stored directly on-chain, along with all of the data associated. "	mandatory behavior	NFT ownership/management and username registration are on-chain; scope of 'all of the data associated' needs definition.	Identity and data	Recover username ownership and required account data without an operator database from declared chain history.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED LOCAL FORMAT: strict intents, event/receipt schemas, two matching replay exports and rejection of incomplete/inconsistent edits. No signed protocol, on-chain identity or permanent public-record storage. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Which associated data must itself be on-chain versus permanently available elsewhere?	SPEC_CONFLICTS.md#c-006
M-013	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L46-L47	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	" iv. Holding the NFT (note holding, not staking), allows the user to deposit or withdraw CAW into a contract wallet. 
 The ownership of the NFT will serve as the key to this wallet. For users using multiple NFTs they may specify which by a unique number associated. "	mandatory behavior	Holding, not staking, the NFT enables CAW deposits and withdrawals; ownership keys the wallet.	Account balance	With zero stake, a holder deposits and withdraws authorized CAW; non-owner cannot spend; balances reconcile to actual token custody.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no token deposit/withdrawal or contract wallet. Tests cover synthetic debit/credit, underfunding and conservation only; fixed stake weights are distinct from balances. See DECISION_LOG.md#d-010 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-014	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L47	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	 The ownership of the NFT will serve as the key to this wallet. For users using multiple NFTs they may specify which by a unique number associated. 	mandatory behavior	A wallet holding several NFTs can choose the account using its unique NFT identifier.	Multi-account selection	Two funded NFTs retain separate balances/history and explicit NFT ID on every authorized action.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED MODEL SUBSET: fixture accounts retain separate balances/nonces/controllers. Account-selection UI is implemented but browser QA blocked. No actual NFT identifiers or multi-NFT custody. See DECISION_LOG.md#d-003 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-015	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L51-L52	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"  i. Making a CAW (Akin to tweeting). 
   a. This cost will be taken in CAW, and then distributed proportionally to all other stakers. "	mandatory behavior	CAW post cost is paid in CAW and distributed proportionally among all other stakers; payer exclusion is literal here.	Post settlement	Property-test conservation, stake weighting and payer exclusion after eligibility and no-eligible-staker rules are resolved.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED APPENDIX DEMO ONLY: posts pay 5,000 synthetic CAW to eligible other fixed weights, floor integer shares, preserve visible dust and reject an empty eligible pool. Production staking semantics remain open. See DECISION_LOG.md#d-010 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Define staking unit, snapshots, payer exclusion, zero pool, rounding and dust.	SPEC_CONFLICTS.md#c-007
M-016	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L54-L55	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"  ii. Liking someone else's CAW. 
   a. This is closer to tipping. The CAW will be taken and directly sent to the OP (orginal poster's) wallet. "	ambiguity	Main prose sends the like payment directly to the original poster; appendix recommends 80/20 poster/stakepool.	Like settlement	Compare both interpretations on the same integer fixture; production behavior must cite an explicit decision.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED APPENDIX DEMO ONLY: 2,000 synthetic-CAW like credits 1,600 directly and 400 to eligible stake weights, with literal reference checks. The competing main-prose allocation is preserved and unresolved. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Which like distribution governs production?	SPEC_CONFLICTS.md#c-002
M-017	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L57-L58	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"  iii. ReCAWing (akin to a retweet). 
   a. The cost of which will be taken in CAW and sent to OP's wallet. "	ambiguity	Main prose sends reCAW payment to the original poster; appendix also includes stakers and recommends 50/50.	ReCAW settlement	Compare 100% poster and 50/50 recipient fixtures; do not call either undisputed literal compliance.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED APPENDIX DEMO ONLY: 4,000 synthetic-CAW reCAW splits 2,000 to author and 2,000 to eligible stake weights. Production routing and ownership timing remain unresolved. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Which reCAW distribution governs production?	SPEC_CONFLICTS.md#c-002
M-018	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L60-L63	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"  vi. For receiving the CAW we envision a mostly gasless contract, in which signatures may push CAW balance between users and the application in a contract.
   The only thing a user should be spending gas on is: 
   a. The minting of an NFT. 
   b. Depositing or withdrawing CAW. "	mandatory behavior	Mostly gasless signature-based internal CAW movements; users should pay gas only for mint/deposit/withdraw.	Signing and relay	Demonstrate signed social actions without per-action wallet gas payment, with no mandatory authoritative relayer, complete cost ledger and independent fallback.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no signature, wallet authentication, gas, relayer or real settlement. Local staged UI and synthetic nonces illustrate a flow; they do not establish gasless execution. Browser flow untested. See DECISION_LOG.md#d-003 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Who pays execution/storage and how are independent submissions financed?	SPEC_CONFLICTS.md#c-008
M-019	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L65	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	  vii. DM's should be 'free' and executed via a trustless handshake between two accounts to enable secure peer-to-peer messaging. 	mandatory behavior	DMs are free, secure P2P messages enabled by a trustless handshake between two accounts.	Direct messages	After reviewed design selection, validate recipient key authentication, forward ownership authority, endpoint compromise limits and absence of an operator universal key.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: messaging screen explains the blocked feature and accepts no private correspondence. No handshake, encryption, transport, key authentication or history transfer. See DECISION_LOG.md#d-007 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	What reviewed protocol reconciles transferable account access and confidential history?	SPEC_CONFLICTS.md#c-005
M-020	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L66	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	   Group chats would bring on unneeded complexity, and are not recommended at this point.	recommendation	Exclude group chats from the initial messaging baseline to avoid extra complexity.	Scope	Prototype navigation must not imply that implemented, secure group messaging exists.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: SCOPE ONLY: neither direct nor group messaging is implemented; navigation does not represent a working secure group service. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-021	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L68-L69	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"  viii. All data will be stored permanently. Due to limitations of the Ethereum network, Arweave or similar blockchains may be preferred. The CAW liquidty
  may migrate at somepoint to the QOMQQL1,  but that will be addressed once the technical merits reveal itself and the move is obvious."	recommendation	Arweave or similar may be preferred; QOMQQL1 migration is conditional future speculation, not an adopted chain decision.	Storage and chain choice	Compare viable dependencies and keep chain migration outside baseline absent justified agreed change.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no Ethereum/Arweave/IPFS/QOMQQL1 or other chain/storage integration selected by B-001. See DECISION_LOG.md#d-006 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	What permanence, control, cost and replacement guarantees are actually achievable?	SPEC_CONFLICTS.md#c-006
M-022	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L68-L73	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"  viii. All data will be stored permanently. Due to limitations of the Ethereum network, Arweave or similar blockchains may be preferred. The CAW liquidty
  may migrate at somepoint to the QOMQQL1,  but that will be addressed once the technical merits reveal itself and the move is obvious.

  Data storage must be completely trustless, and permanent. The importance of being both censorship resistant and self-policing for the betterment 
  of a protocol cannot be overstated. CAW is meant only to give you the raw tool kit to build your own online society. 
  Because of this, there is a distinct gap between the protocol itself, and the frontends. "	mandatory behavior	Store all data permanently and trustlessly; maintain the explicit protocol/frontend separation.	Data availability and rebuild	Define record classes, persistence assumptions and fees; rebuild the declared permanent public dataset twice from the same finalized history.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED LOCAL FORMAT: strict intents, event/receipt schemas, two matching replay exports and rejection of incomplete/inconsistent edits. No signed protocol, on-chain identity or permanent public-record storage. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	BLOCKED	Resolve all-data scope, DM content/metadata and exclusion of images before a permanence claim.	SPEC_CONFLICTS.md#c-006
M-023	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L75-L80	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"At the base level, CAW's contracts for trustless data storage and communication, anything can be posted. We are not naive, and we understand what may be posted. 
As a result of this, it is up to the frontends to limit content that might obfuscate the reason for CAW's creation. 

That being said, at the level of a protocol no username or message will be blocked or quarantined. 
Due to the nature of renounced ownership of smart contracts, there will be nobody who can limit such content. 
(perhaps now you see why renouceing the contract with no multi-sig or upgrades is important.)"	mandatory behavior	Protocol does not permit discretionary blocking or quarantine of usernames/messages; frontend content controls are separate.	Protocol access and moderation	Blocked local-frontend account remains usable through a second compatible client; no protocol admin ban list or privileged moderation path.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no smart contracts, deployment or production authority graph. Synthetic device checks and local server isolation cannot establish protocol custody, royalty controls or absence of privileged developer powers. See DECISION_LOG.md#d-006 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-024	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L82-L84	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"Now onto the frontends. Anybody is free to make or host their own frontend which will show whatever they woud like (or don't). 
we expect there will be many along with a goal of a mobile app and browser extension that serves as cawing/wallet and instant messager platform that executes
the sigs fast and invisible to give a smoother messaging experience (signing a metamask everytime can be tiresome) "	mandatory behavior	Anyone may create or host a frontend with its own display choices.	Independent clients	Run a replacement client/operator using public material and no Xubu credential.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED LOCAL SUBSET: deterministic fixture/history reconstruction. Two UI readers use the same model; no independent operator, chain availability, censorship resistance or full builder-disappears result. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-025	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L83-L84	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"we expect there will be many along with a goal of a mobile app and browser extension that serves as cawing/wallet and instant messager platform that executes
the sigs fast and invisible to give a smoother messaging experience (signing a metamask everytime can be tiresome) "	recommendation	Mobile app/browser extension and smooth unobtrusive signing are product goals, not permission to hide economic authority.	Client UX and sessions	Responsive prototype discloses cost and signing scope; native/extension work deferred until justified.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: CODE REVIEWED UI ONLY: responsive browser interface, review dialog and staged synthetic settlement. No real signing/session delegation, native app or extension. Visual, keyboard and accessibility browser QA blocked. See DECISION_LOG.md#d-012 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	How do scoped sessions provide speed without silent spending powers?	SPEC_CONFLICTS.md#c-009
M-026	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L86-L90	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"We would recommend that the community makes an alpha frontend, that is more or less 'neutral'. 
It may filter overt hate/violence, along with hard-illegal activity, remember we need to win the world first. 
Others may have a better idea of what should be shown, and their perogative should be to create and host their own frontend. 
The point being, CAW is like Twitter. Except it is bound by no laws, and no central content moderation. 
However, the frontends may choose to moderate the content however they like, or must to fit whatever legal guidelines they need to fit. "	recommendation	A broadly neutral alpha frontend may apply a stated content policy; alternatives remain free to make different choices.	Frontend policy	Document default policy and explain blocked display without representing it as protocol deletion.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no production content policy or hosting decision. Synthetic posts use safe DOM text construction on code review; browser and qualified public-hosting reviews remain pending. See DECISION_LOG.md#d-015 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Qualified review needed before public hosting; source 'bound by no laws' is not a legal conclusion.	SPEC_CONFLICTS.md#c-010
M-027	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L93	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	So even if one frontend blocks you, you cannot be policed, and are still free to use the protocol itself. 	mandatory behavior	Being blocked by one frontend must not prevent protocol access.	Independent operation	Disable or deny the default frontend and submit valid actions through a documented alternate path.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED LOCAL SUBSET: deterministic fixture/history reconstruction. Two UI readers use the same model; no independent operator, chain availability, censorship resistance or full builder-disappears result. See DECISION_LOG.md#d-011 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
M-028	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L97-L100	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"a. It is fairly obvious individuals will begin buying and selling the NFT usernames. 
It would be wise of a community member to create a trustless and feeless marketplace for such trades, similar to Crypto Punk feeless trades
That being said we are pretty aware that as CAW grows to scale,  many will still use FEE marketplaces such as opensea and looks. 
This means that the deployer of the contract that mints NFTS will have the technical ability to set themselves fee's from opensea. "	recommendation	Consider a trustless feeless username marketplace; external fee-charging marketplaces may still exist.	Username transfer market	Demonstrate direct authorized transfer without private royalties; optional marketplace requires no builder fee or privileged escrow.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED SYNTHETIC SUBSET: controller transfer preserves balance/stake, increments epoch/nonce and rejects stale intents. No NFT sale/transfer, cryptographic authentication, marketplace or DM-history movement. See DECISION_LOG.md#d-010 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	What funded-account and DM state transfers with an NFT sale?	SPEC_CONFLICTS.md#c-005
M-029	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L102-L104	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"We do not think this is a good thing, and ask the cammunity to self police/renounce in order to
make sure that trading fees are not set and sent to a private wallet. 
If it helps, this will imply liabilty for the content posted if your wallet is recieving trading fees"	mandatory behavior	Do not configure trading fees sent to a private wallet; historical liability assertion is not adopted as law.	Royalty and fee authority	Check mint/royalty/registry and marketplace configuration for private fee destinations; no hidden or mutable builder royalty.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: NOT IMPLEMENTED: no smart contracts, deployment or production authority graph. Synthetic device checks and local server isolation cannot establish protocol custody, royalty controls or absence of privileged developer powers. See DECISION_LOG.md#d-006 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED	Need licensing/legal review independently of the source's liability rhetoric.	SPEC_CONFLICTS.md#c-010
M-030	https://github.com/cawdevelopment/manifesto	37399aeb55974d4b09d404014865b5ef8918e9de	README.md:L106-L110	066b14262bd29118a8f86d75bece0d5bde96c2b665b1a3b356c3867689094761	"b. Economically, these are the numbers open for debate and structured so that we understand the practical dollar amount of CAW. 

i. 50 mln market cap (near or current MC). 
ii. 1 bln market cap (typical memecoin mooning for a bit MC). 
iii. 10 bln market cap (SHIB-like). "	example	Market-cap figures and dollar estimates are historical scenario inputs, not current price or affordability evidence.	Economics communication	Label historical scenarios and never display them as live price or guaranteed affordability.	primary/manifesto-pinned.md; primary/source_captures.jsonl | B-001: TESTED ARITHMETIC ONLY: fixture fees, allocation and conservation. UI describes recommendations/simulation; no live-price feed, real execution/storage funding model or affordability guarantee. See DECISION_LOG.md#d-004 for scoped model/UI/test evidence and browser-QA limits.	PROPOSED		Not yet approved; no production decision
